team,,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,attendance,captain,formation,referee,match report,crdy,crdr,season,team,nDef,nCen,nAtt,rate,new_1,new_2,new_3,new_4,new_5,new_6
Atalanta,0,2021-08-21,20:45,1.0,Sat,Away,W,2.0,1.0,Torino,0.7,1.3,3475.0,José Luis Palomino,3-4-3,Daniele Chiffi,Match Report,2,0,1,Atalanta,3,4,3,80,1.042486340825392,-4.2721563755584055,-1.8031067545118717,-1.9218607095783564,2.2694447877144137,-0.0992233212313921
Atalanta,1,2021-08-28,18:30,2.0,Sat,Home,D,0.0,0.0,Bologna,0.9,0.3,7912.0,Rafael Tolói,3-4-3,Daniele Orsato,Match Report,2,0,1,Atalanta,3,4,3,80,-2.7601765906667284,3.275253477618928,-0.5125720361091816,-1.6750640273595208,-0.8809656861456665,2.373063807104995
Atalanta,2,2021-09-11,20:45,3.0,Sat,Home,L,1.0,2.0,Fiorentina,2.2,1.8,9162.0,Rafael Tolói,3-4-3,Valerio Marini,Match Report,4,0,1,Atalanta,3,4,3,80,-0.8588451249206678,-0.498451448969738,-1.1578393953105266,-1.798462368468939,0.6942395507843738,1.1369202429368022
Atalanta,3,2021-09-18,20:45,4.0,Sat,Away,W,1.0,0.0,Salernitana,1.6,0.7,11949.0,Rafael Tolói,3-4-3,Paolo Valeri,Match Report,4,0,1,Atalanta,3,4,3,80,-1.6284274635401106,-0.3248830757218759,-1.133533758940655,-1.3533230983966225,-0.007088620600927682,-0.12486178634281331
Atalanta,4,2021-09-21,20:45,5.0,Tue,Home,W,2.0,1.0,Sassuolo,1.9,0.9,7353.0,Rafael Tolói,3-4-1-2,Davide Massa,Match Report,2,0,1,Atalanta,3,4,3,80,-2.3714638134086683,1.101452399166084,-1.2130161513431184,-0.9707531957145241,-0.9284836019437258,-0.10665473435682953
Atalanta,5,2021-09-25,18:00,6.0,Sat,Away,D,2.0,2.0,Internazionale,1.9,3.9,36517.0,Rafael Tolói,3-4-1-2,Fabio Maresca,Match Report,5,0,1,Atalanta,3,4,3,80,-1.2067507450239903,-0.00016814283591305067,-0.33595863810030574,0.1612478473146014,0.17160573684902908,-1.0111740331209238
Atalanta,6,2021-10-03,20:45,7.0,Sun,Home,L,2.0,3.0,Milan,2.1,2.7,9363.0,Remo Freuler,3-4-1-2,Marco Di Bello,Match Report,1,0,1,Atalanta,3,4,3,80,-0.15601133073244033,0.18197508419430564,0.07367465215377138,0.527368259902636,0.5079832635642434,-0.976223338174642
Atalanta,7,2021-10-17,15:00,8.0,Sun,Away,W,4.0,1.0,Empoli,3.9,0.6,6214.0,Rafael Tolói,3-4-1-2,Marco Serra,Match Report,2,0,1,Atalanta,3,4,3,80,-0.2824661024585288,0.20581916096562122,1.1301372707101134,0.6987231608189591,0.9276093563190781,-0.9319368635580536
Atalanta,8,2021-10-24,12:30,9.0,Sun,Home,D,1.0,1.0,Udinese,0.4,0.6,9951.0,Remo Freuler,3-4-3,Livio Marinelli,Match Report,2,0,1,Atalanta,3,4,3,80,-1.0469269566205552,0.329211350249816,0.8610998717785979,-0.010766374632755541,-0.32305600033908516,-1.2963649092910692
Atalanta,9,2021-10-27,18:30,10.0,Wed,Away,W,3.0,1.0,Sampdoria,1.3,1.3,5462.0,Remo Freuler,3-4-3,Alessandro Prontera,Match Report,3,0,1,Atalanta,3,4,3,80,-1.3324193814068837,-0.2639173387098872,1.2260419746026345,-0.7100983288895614,0.06837115943511182,-0.04016112471509124
Atalanta,10,2021-10-30,15:00,11.0,Sat,Home,D,2.0,2.0,Lazio,0.8,1.4,11981.0,Remo Freuler,3-4-3,Marco Guida,Match Report,1,0,1,Atalanta,3,4,3,80,-0.8890599765595306,-0.7215455975333446,0.9932404625524771,-1.5203192103191976,0.23802015600118187,-0.04547239663079622
Atalanta,11,2021-11-06,20:45,12.0,Sat,Away,W,2.0,1.0,Cagliari,2.9,0.6,6976.0,Remo Freuler,3-4-3,Marco Piccinini,Match Report,1,0,1,Atalanta,3,4,3,80,-0.18800050234600005,-1.0700669813118047,0.7934607609410396,-2.1011397796145537,1.3085189098731922,-0.09413903326415345
Atalanta,12,2021-11-20,15:00,13.0,Sat,Home,W,5.0,2.0,Spezia,2.2,0.7,10744.0,Rafael Tolói,3-4-3,Rosario Abisso,Match Report,2,0,1,Atalanta,3,4,3,80,-0.05630130114493233,0.05214892678242181,1.8741334897292432,-1.0788540505202933,1.3525004895295254,-1.4728229774757777
Atalanta,13,2021-11-27,18:00,14.0,Sat,Away,W,1.0,0.0,Juventus,0.5,0.8,29886.0,Rafael Tolói,3-4-3,Giovanni Ayroldi,Match Report,5,0,1,Atalanta,3,4,3,80,1.03621214284841,-0.2747388178360798,3.1006091806355216,-0.7503581996436891,0.5412262289603823,-1.240681279989276
Atalanta,14,2021-11-30,18:30,15.0,Tue,Home,W,4.0,0.0,Venezia,2.5,0.6,8667.0,José Luis Palomino,3-4-3,Alberto Santoro,Match Report,0,0,1,Atalanta,3,4,3,80,0.6438030854622336,-1.5813473058983716,1.6052003806398416,-0.23053313958918997,0.5105246888828315,-1.0751599165446613
Atalanta,15,2021-12-04,20:45,16.0,Sat,Away,W,3.0,2.0,Napoli,1.6,1.1,30000.0,Rafael Tolói,3-4-3,Maurizio Mariani,Match Report,3,0,1,Atalanta,3,4,3,80,3.002191543711993,-1.0596354570134294,-0.9301588353859884,-1.3067929620549985,-0.5057600434252884,0.31441504378701746
Atalanta,16,2021-12-12,15:00,17.0,Sun,Away,W,2.0,1.0,Hellas Verona,0.9,1.3,15000.0,Rafael Tolói,3-4-3,Juan Sacchi,Match Report,1,0,1,Atalanta,3,4,3,80,2.3818503566091334,-0.7217008350541396,-1.5521260292211836,-0.8946007227355304,-0.29190308594562936,-0.6720906092306363
Atalanta,17,2021-12-18,15:00,18.0,Sat,Home,L,1.0,4.0,Roma,1.2,1.7,14469.0,Rafael Tolói,3-4-3,Massimiliano Irrati,Match Report,1,0,1,Atalanta,3,4,3,80,3.35413358102711,0.5939395716103301,-0.22422149376546513,-0.28187593776327036,-1.1927057005159323,0.565921397536403
