,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,sot%,g/sot,dist,g-xg,save%,stp%,cmp%,totdist,crdy,crdr,fls,recov,season,team
0,2023-08-19,20:45,Serie A,Matchweek 1,Sat,Home,W,2.0,0.0,Monza,2.7,0.8,47.0,72509.0,Lautaro Martínez,3-5-2,Andrea Colombo,Match Report,,22.0,3.0,13.6,0.67,17.2,-0.7,100.0,10.0,88.0,7722.0,1,0,8.0,40.0,3,Internazionale
1,2023-08-28,20:45,Serie A,Matchweek 2,Mon,Away,W,2.0,0.0,Cagliari,0.9,0.6,67.0,16412.0,Lautaro Martínez,3-5-2,Michael Fabbri,Match Report,,17.0,3.0,17.6,0.67,15.9,1.1,100.0,0.0,84.4,10857.0,1,0,10.0,63.0,3,Internazionale
2,2023-09-03,18:30,Serie A,Matchweek 3,Sun,Home,W,4.0,0.0,Fiorentina,3.7,0.4,40.0,72739.0,Lautaro Martínez,3-5-2,Matteo Marchetti,Match Report,,20.0,10.0,50.0,0.3,14.5,0.3,100.0,0.0,81.7,5579.0,1,0,13.0,53.0,3,Internazionale
3,2023-09-16,18:00,Serie A,Matchweek 4,Sat,Home,W,5.0,1.0,Milan,2.6,1.1,41.0,75571.0,Lautaro Martínez,3-5-2,Simone Sozza,Match Report,,13.0,6.0,46.2,0.67,15.2,2.4,50.0,16.7,80.9,5601.0,2,0,16.0,31.0,3,Internazionale
5,2023-09-24,12:30,Serie A,Matchweek 5,Sun,Away,W,1.0,0.0,Empoli,1.6,0.3,61.0,15651.0,Lautaro Martínez,3-5-2,Matteo Marcenaro,Match Report,,23.0,5.0,21.7,0.2,16.8,-0.6,100.0,11.1,83.3,8961.0,2,0,11.0,49.0,3,Internazionale
6,2023-09-27,20:45,Serie A,Matchweek 6,Wed,Home,L,1.0,2.0,Sassuolo,0.9,1.0,63.0,70864.0,Lautaro Martínez,3-5-2,Luca Massimi,Match Report,,13.0,3.0,23.1,0.33,15.2,0.1,66.7,22.2,82.7,9387.0,0,0,10.0,42.0,3,Internazionale
7,2023-09-30,20:45,Serie A,Matchweek 7,Sat,Away,W,4.0,0.0,Salernitana,2.3,0.6,64.0,28085.0,Nicolò Barella,3-5-2,Rosario Abisso,Match Report,,15.0,5.0,33.3,0.6,16.8,1.7,100.0,0.0,85.0,9000.0,1,0,10.0,46.0,3,Internazionale
9,2023-10-07,15:00,Serie A,Matchweek 8,Sat,Home,D,2.0,2.0,Bologna,0.7,1.3,63.0,74072.0,Lautaro Martínez,3-5-2,Marco Guida,Match Report,,14.0,5.0,35.7,0.4,18.3,1.3,66.7,0.0,83.5,8510.0,2,0,11.0,55.0,3,Internazionale
10,2023-10-21,18:00,Serie A,Matchweek 9,Sat,Away,W,3.0,0.0,Torino,2.5,0.4,53.0,26193.0,Lautaro Martínez,3-5-2,Matteo Marchetti,Match Report,,13.0,3.0,23.1,0.67,17.1,0.5,100.0,0.0,83.3,6868.0,2,0,8.0,39.0,3,Internazionale
12,2023-10-29,18:00,Serie A,Matchweek 10,Sun,Home,W,1.0,0.0,Roma,2.2,0.1,63.0,75573.0,Lautaro Martínez,3-5-2,Fabio Maresca,Match Report,,19.0,3.0,15.8,0.33,16.0,-1.2,100.0,0.0,84.2,9200.0,3,0,14.0,52.0,3,Internazionale
